region_name,mean_light,sum_light,年,GDP
香川県,1.9476741824529864,4401.74365234375,2016,7313564.0
高知県,0.4329216980674294,3694.120849609375,2016,4090828.0
鳥取県,0.5398853652646736,2331.764892578125,2016,3278958.0
鹿児島県,0.5088077552964133,5475.7890625,2016,9491886.0
三重県,1.7817232529299658,12504.1337890625,2017,19123753.0
京都府,2.069576584856916,11715.873046875,2017,18165221.0
佐賀県,1.5945005714178655,4654.34716796875,2017,5443332.0
兵庫県,2.681859537523088,27588.2890625,2017,40127354.0
北海道,0.9953021348646746,114478.65625,2017,34262724.0
千葉県,5.651989195950205,35867.5234375,2017,39386836.0
和歌山県,1.049569544686732,5980.447265625,2017,6840861.0
埼玉県,6.971701056936477,32815.796875,2017,42343287.0
大分県,0.9799994142937,7450.935546875,2017,9813206.0
大阪府,17.463236983672147,40375.00390625,2017,70420444.0
奈良県,1.6184547890311525,7260.38818359375,2017,6406126.0
宮城県,1.679990676025889,15639.033203125,2017,17208769.0
宮崎県,0.6426537862150807,5889.279296875,2017,6700055.0
富山県,1.4291365408255694,7593.00244140625,2017,8926219.0
山口県,1.0380287799489727,7679.3369140625,2017,12851174.0
山形県,0.9469377030071248,11296.966796875,2017,7979298.0
山梨県,1.1294627170611171,6227.857421875,2017,6697213.0
岐阜県,1.1415725247312445,14972.865234375,2017,14958539.0
岡山県,1.2595048039596273,10950.134765625,2017,16538427.0
岩手県,0.6172325668169681,12251.44921875,2017,8926719.0
島根県,0.5816098305629028,4782.57763671875,2017,4351421.0
広島県,1.3533538254258202,13984.205078125,2017,23325162.0
徳島県,0.8868668145100879,4439.6552734375,2017,5430394.0
愛媛県,0.9245424012880068,6294.28466796875,2017,10406736.0
愛知県,8.130958540286976,51566.5390625,2017,82600192.0
新潟県,0.952264260210104,15126.7177734375,2017,16306920.0
東京都,19.522530354484555,52457.0390625,2017,185464460.0
栃木県,1.777981699272421,14234.521484375,2017,18268635.0
沖縄県,0.0,0.0,2017,7642064.0
滋賀県,1.8927148556568787,9314.0498046875,2017,13656995.0
熊本県,1.044831196566074,9226.904296875,2017,11146773.0
石川県,1.399781205983814,7329.25439453125,2017,8802799.0
神奈川県,12.125513911086813,36037.02734375,2017,63545150.0
福井県,1.0671422974927676,5533.1328125,2017,6417356.0
福岡県,4.170578790726817,24960.9140625,2017,36855245.0
福島県,0.8542879695944975,14857.7763671875,2017,15148921.0
秋田県,0.7652459633010493,11595.0068359375,2017,6187605.0
群馬県,1.5363681391615125,12171.1083984375,2017,18146373.0
茨城県,2.86611939683586,21739.515625,2017,27031251.0
長崎県,1.2047665588120335,5972.02783203125,2017,7952506.0
長野県,0.8341210241198752,14038.2568359375,2017,15517465.0
青森県,1.1506306127273265,14678.5947265625,2017,7842804.0
静岡県,2.1535213302511296,20495.0625,2017,34129336.0
香川県,2.092222932798673,4728.423828125,2017,7522591.0
高知県,0.6186578371286476,5279.00732421875,2017,4119985.0
鳥取県,0.7371547210544975,3183.771240234375,2017,3395361.0
鹿児島県,0.6666742738483785,7174.74853515625,2017,9843699.0
三重県,1.7365612031116415,12187.1865234375,2018,19773421.0
京都府,2.100510896926338,11890.9921875,2018,18067889.0
佐賀県,1.6196071602539397,4727.63330078125,2018,5830550.0
兵庫県,2.772323001725479,28518.88671875,2018,40343063.0
北海道,0.9373554586633512,107813.6875,2018,34847873.0
千葉県,5.720732671170817,36303.76953125,2018,40907172.0
和歌山県,1.0126209305896805,5769.9140625,2018,6937777.0
埼玉県,7.218085265296367,33975.52734375,2018,43088129.0
大分県,0.9732016247698276,7399.251953125,2018,10235409.0
大阪府,17.943345858564015,41485.015625,2018,71597048.0
奈良県,1.6313964190676549,7318.4443359375,2018,6554934.0
宮城県,1.6954025086609732,15782.501953125,2018,17332514.0
宮崎県,0.6167859627346137,5652.2265625,2018,6830671.0
富山県,1.4874615661173065,7902.88330078125,2018,9192394.0
山口県,1.0637385896103675,7869.5380859375,2018,13653785.0
山形県,0.9224983464742248,11005.4052734375,2018,8054042.0
山梨県,1.106990179117927,6103.94384765625,2018,6754548.0
岐阜県,1.107837934107197,14530.40234375,2018,15406939.0
岡山県,1.2843308783356338,11165.97265625,2018,17201409.0
岩手県,0.5907818876265807,11726.4296875,2018,9211695.0
島根県,0.5813625131110909,4780.5439453125,2018,4519452.0
広島県,1.3742966632996223,14200.607421875,2018,23480518.0
